,logFC,AveExpr,t,P.Value,adj.P.Val,B
CAPN6,-0.977077430807309,5.15445167421682,-3.76360858071862,0.000354544588440066,0.0072368042529531,-0.159392715707628
OGN,-1.14884620229821,3.85503996986281,-3.73627447262349,0.000387931525652457,0.00773397237668269,-0.243245026016165
DNAAF9,-0.560952084238787,6.56804437021965,-3.72174811870828,0.000406876144069872,0.00799887122633606,-0.287646346493677
RRAD,-0.644868451562248,4.90795706265743,-3.70770678669798,0.00042602565864723,0.00826408135227802,-0.330458343528872
SLC18A3,-0.562681857998235,5.26190177566953,-3.6504037785674,0.000513468629603871,0.00948128765559585,-0.504076112360674
MXRA8,-0.662690761098535,8.84925062262286,-3.64325876250991,0.000525501668498448,0.00962584721871705,-0.525599353968168
HTRA3,-0.500493717749032,7.8771027422752,-3.61696561279384,0.000572136715100384,0.0102418910840599,-0.604562554627984
ZNF667-AS1,-0.541619385984903,6.0863294806695,-3.61223633698209,0.000580932432654375,0.0103328948424763,-0.618725096607577
THBS4,-0.765331341548191,6.27025843367728,-3.60435129870774,0.000595884206159833,0.0105065284140723,-0.642310582549407
PROCR,-0.618087009875118,8.12103269054882,-3.58911208054867,0.000625824934681294,0.0109391644194802,-0.687796045371598
C10orf143,-0.529897586803462,5.548854810993,-3.54934643231112,0.00071083642908516,0.0120377311325456,-0.805877045343877
