,logFC,AveExpr,t,P.Value,adj.P.Val,B
LSAMP,-0.834184388855861,4.47676000852724,-6.69083324163987,8.45167512951075E-08,8.25484006399451E-06,7.90567803704723
MRPL33,-0.615281172537717,9.18108468574338,-6.63703389818879,9.80376915219165E-08,9.2877192572372E-06,7.75983908679207
SLC22A8,-0.546680092809031,4.36703134588737,-6.62826559607902,1.00485576414596E-07,9.2877192572372E-06,7.73564365712194
GOLGA8M,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8O,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8T,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8R,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8J,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8N,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8K,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8H,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
GOLGA8S,-1.77822433323297,6.8417922448915,-6.62844418373892,1.02182011676461E-07,9.2877192572372E-06,7.72085092292861
ASPRV1,-0.733992468834653,4.78128139338607,-6.61018747167948,1.07937869623141E-07,9.62508287629112E-06,7.66741978482235
RLN1,-0.510138789609175,3.41051237445148,-6.53920534799559,1.31885495386534E-07,1.10411958524915E-05,7.47087622257614
GVINP1,-1.04512482070114,5.00526730705819,-6.54251386154972,1.32765752764367E-07,1.10732604805607E-05,7.46589755925953
CACNG3,-0.625408442016859,4.16591432166259,-6.48614299124961,1.55971317846815E-07,1.27228032129331E-05,7.30805871507894
BCLAF3,-1.06083692922766,5.21274750631676,-6.48722507166477,1.57163381733317E-07,1.27268049011609E-05,7.30163739980638
GSN,-0.663352183486173,4.86606444790173,-6.44664876171783,1.76927632078414E-07,1.38732445026556E-05,7.18580280039123
PTPN2,-0.75383294873808,3.91533631014944,-6.44041873744142,1.81315451243856E-07,1.40686891419841E-05,7.16245350913354
TAF1C,-0.595116587918261,5.85130101707715,-6.35150157848121,2.34918290456864E-07,1.75550181549796E-05,6.90908583915241
RCAN3,-0.53352430424123,3.99765910588179,-6.31579006148798,2.61391577778119E-07,1.92745994885461E-05,6.80488291118704
INSYN1-AS1,-0.614537155394264,4.76920168500803,-6.29698666994338,2.78600838803864E-07,2.03916704498339E-05,6.74340008333829
KRT8P12,-0.824443291894401,5.73330434124019,-6.21648379341743,3.59847484076193E-07,2.54870107912108E-05,6.4952017250213
SEBOX,-0.566662490447278,5.38348563526571,-6.21148484608855,3.60245579913585E-07,2.54870107912108E-05,6.4927304990593
BDP1,-0.815785047608887,3.47469234009226,-6.19340394282885,3.86236795608192E-07,2.70475069226378E-05,6.42632395431199
STX16,-0.829526753675999,6.84396819624776,-6.18978355432682,3.90549139329606E-07,2.71785586991594E-05,6.41551801809245
NHLRC2,-0.714981351723756,4.66193780105274,-6.16214301885758,4.25106221541139E-07,2.91282782999989E-05,6.33300507977466
NEFH,-0.805097049505001,3.95106976820307,-6.14578815865809,4.46982494839878E-07,3.00720639806322E-05,6.28417193592364
USP12P1,-0.686640454772584,4.95984886815177,-6.14111097804045,4.53311432992681E-07,3.03146915955376E-05,6.27046051292959
MADCAM1,-1.49971243187216,5.25102415847319,-6.09545626339155,5.21654869724637E-07,3.36716878083998E-05,6.13384428674665
RAP1GAP2,-1.1683516481692,6.3626775870479,-6.08211007517499,5.43475261796646E-07,3.48779556338603E-05,6.0939725768216
NLGN3,-0.507722109784532,4.64259588587296,-6.03846817399176,6.12908277741084E-07,3.85560859802718E-05,5.97557328610091
C17orf67,-0.722457378411021,5.19453853915632,-6.02430241112017,6.49067492107341E-07,4.01661372601257E-05,5.92122932114988
NCR3,-0.677058263225215,5.06893277376448,-6.0075499186317,6.83350540106532E-07,4.15779595017277E-05,5.87115729825364
ZCCHC18,-0.617951140705802,3.96446401748512,-5.98023331328201,7.39975695245455E-07,4.44164926076039E-05,5.79326274147459
CHRD,-0.697162557882685,4.81378294332016,-5.93505852345984,8.53897471761561E-07,4.95193822881724E-05,5.65443932747782
FLT3LG,-0.660003691117448,4.60318907369972,-5.89403914630533,9.68501271557249E-07,5.50192724905826E-05,5.53194242710051
NAV1,-1.08232221072761,5.40125007834767,-5.88237634697211,1.00404977184092E-06,5.6591291181306E-05,5.4969087456976
HMCN1,-1.74956488696866,4.48817018364631,-5.84940492180116,1.11120384687505E-06,6.09883710625394E-05,5.39830959187635
CPLX3,-0.696164695019399,4.93338953098587,-5.80227608159496,1.28455292322097E-06,6.8271381974243E-05,5.25737070317505
CTRL,-0.528454904950522,4.24905936083068,-5.79205289646534,1.30984333430625E-06,6.94497647896806E-05,5.23709635444426
SF1-DT,-0.685441989458552,4.10992032390973,-5.76332123849014,1.44809705310754E-06,7.58768782956511E-05,5.14087987367985
LINC02708,-0.645622608975412,4.78688455909624,-5.7465408023284,1.52474157231454E-06,7.8780673025226E-05,5.09074622463426
ATG9A,-0.572885696937205,7.59376136677535,-5.72315748537395,1.6289953024136E-06,8.33933250332149E-05,5.02581343262299
PCP4L1,-0.821406879965959,3.85956790847433,-5.72011372740363,1.65397764003913E-06,8.42302480822602E-05,5.01168301758581
ZNF776,-0.70447765666095,6.71104315374172,-5.7136251715609,1.68732830634992E-06,8.54051289644295E-05,4.99228274993673
PKNOX2,-0.574890741728375,4.67882480056444,-5.70884203956829,1.70300201994176E-06,8.57705166728726E-05,4.98267802772645
KIRREL2,-0.54679977090407,4.27495095135433,-5.6924555833956,1.78597775525078E-06,8.87766487314278E-05,4.93612271768244
WWC2,-0.740469493117841,5.57721601708384,-5.65813771738906,2.00143642216245E-06,9.71023696843915E-05,4.8264013080255
HSPA1L,-0.591199275954002,4.57394609983089,-5.63243804925866,2.16018530852548E-06,0.000103674928093866,4.75193134399041
